,Open,High,Low,Close,Adj Close,Volume
2019-03-01,85.71,85.99,84.9,85.37,85.37,537900
2019-03-02,85.82,86.13,84.15,85.25,85.25,597866
2019-03-03,85.94,86.26,83.41,85.12,85.12,657833
2019-03-04,86.05,86.4,82.66,85.0,85.0,717800
2019-03-05,88.16,90.33,87.35,88.31,88.31,849900
2019-03-06,85.46,87.12,83.03,84.75,84.75,2301000
2019-03-07,85.15,85.44,82.85,83.37,83.37,589400
2019-03-08,82.77,83.74,81.3,83.27,83.27,554000
2019-03-09,83.01,85.22,82.02,84.8,84.8,603766
2019-03-10,83.26,86.7,82.75,86.32,86.32,653533
2019-03-11,83.5,88.18,83.47,87.85,87.85,703300
2019-03-12,88.05,89.6,86.59,87.97,87.97,601800
2019-03-13,88.2,92.05,87.97,91.76,91.76,625600
2019-03-14,91.41,92.73,88.23,88.34,88.34,457300
2019-03-15,88.41,91.66,88.03,91.43,91.43,1096500
2019-03-16,89.5,91.92,88.27,91.03,91.03,938400
2019-03-17,90.59,92.17,88.51,90.64,90.64,780300
2019-03-18,91.68,92.43,88.75,90.24,90.24,622200
2019-03-19,90.4,90.92,87.99,88.63,88.63,428400
2019-03-20,88.62,90.0,86.69,88.68,88.68,520100
2019-03-21,88.13,91.33,87.91,90.74,90.74,511200
2019-03-22,90.07,90.45,84.29,84.52,84.52,764500
2019-03-23,88.14,88.94,83.7,84.4,84.4,678466
2019-03-24,86.2,87.43,83.11,84.29,84.29,592433
2019-03-25,84.27,85.92,82.52,84.17,84.17,506400
2019-03-26,84.98,87.41,84.28,87.14,87.14,528300
2019-03-27,87.46,88.2,84.67,86.35,86.35,625400
2019-03-28,86.53,91.09,86.33,90.61,90.61,717700
2019-03-29,90.19,93.95,90.19,93.45,93.45,1275000
2019-03-30,91.58,94.66,90.56,92.91,92.91,1083133
2019-03-31,92.97,95.37,90.92,92.37,92.37,891266
2019-04-01,94.36,96.08,91.29,91.83,91.83,699400
2019-04-02,92.0,93.31,91.35,92.57,92.57,415200
2019-04-03,93.31,93.41,91.41,92.06,92.06,732700
2019-04-04,92.13,93.0,90.68,91.45,91.45,417700
2019-04-05,91.67,93.0,91.27,92.79,92.79,752200
2019-04-06,92.11,93.3,90.38,91.92,91.92,843200
2019-04-07,92.56,93.59,89.48,91.04,91.04,934200
2019-04-08,93.0,93.89,88.59,90.17,90.17,1025200
2019-04-09,90.99,91.6,88.6,88.91,88.91,900600
2019-04-10,89.81,92.47,89.59,90.89,90.89,650500
2019-04-11,91.25,91.92,87.02,88.1,88.1,854400
2019-04-12,89.36,90.25,88.12,89.81,89.81,787000
2019-04-13,89.98,91.13,87.88,89.38,89.38,764866
2019-04-14,90.61,92.02,87.63,88.96,88.96,742733
2019-04-15,91.23,92.9,87.39,88.53,88.53,720600
2019-04-16,88.96,90.74,88.43,88.56,88.56,450200
2019-04-17,89.08,89.74,83.58,84.89,84.89,867200
2019-04-18,85.06,86.23,79.79,82.07,82.07,1376400
2019-04-19,84.16,85.63,79.97,82.34,82.34,1210500
2019-04-20,83.25,85.03,80.14,82.62,82.62,1044600
2019-04-21,82.35,84.43,80.31,82.89,82.89,878700
2019-04-22,81.45,83.83,80.49,83.16,83.16,712800
2019-04-23,83.24,88.27,82.89,87.41,87.41,609800
2019-04-24,87.33,87.33,84.67,85.37,85.37,346800
2019-04-25,84.9,88.01,83.5,87.88,87.88,650500
2019-04-26,87.95,88.45,84.95,87.06,87.06,845600
2019-04-27,87.63,89.02,85.51,87.55,87.55,739466
2019-04-28,87.3,89.59,86.08,88.04,88.04,633333
2019-04-29,86.98,90.16,86.64,88.53,88.53,527200
2019-04-30,88.5,89.67,86.46,89.34,89.34,812600
2019-05-01,91.89,92.85,82.5,83.03,83.03,1660500
2019-05-02,84.25,86.48,82.47,82.54,82.54,935400
2019-05-03,79.8,79.96,76.86,77.29,77.29,4643900
2019-05-04,78.22,78.64,75.36,76.22,76.22,4332200
2019-05-05,76.63,77.32,73.85,75.15,75.15,4020500
2019-05-06,75.05,76.0,72.35,74.08,74.08,3708800
2019-05-07,73.44,73.98,70.37,70.82,70.82,2810500
2019-05-08,70.57,71.08,69.82,70.15,70.15,1532600
2019-05-09,69.4,72.49,67.73,72.14,72.14,2042300
2019-05-10,71.57,74.18,70.71,71.46,71.46,1434600
2019-05-11,70.84,72.94,69.67,70.56,70.56,1436266
2019-05-12,70.12,71.7,68.64,69.67,69.67,1437933
2019-05-13,69.39,70.46,67.6,68.77,68.77,1439600
2019-05-14,69.12,69.46,67.25,67.6,67.6,1511000
2019-05-15,67.01,70.63,66.01,68.07,68.07,927100
2019-05-16,68.21,70.42,67.52,68.73,68.73,894400
2019-05-17,67.91,69.25,67.33,67.54,67.54,815500
2019-05-18,67.69,68.74,66.82,66.98,66.98,925100
2019-05-19,67.47,68.23,66.32,66.42,66.42,1034700
2019-05-20,67.25,67.72,65.81,65.86,65.86,1144300
2019-05-21,66.64,68.21,66.08,67.87,67.87,1232000
2019-05-22,67.58,68.72,66.12,67.81,67.81,501400
2019-05-23,66.75,68.13,65.89,67.91,67.91,722800
2019-05-24,68.09,69.63,68.05,68.93,68.93,1247500
2019-05-25,68.32,69.68,68.01,68.73,68.73,1209950
2019-05-26,68.55,69.72,67.96,68.53,68.53,1172400
2019-05-27,68.78,69.77,67.92,68.33,68.33,1134850
2019-05-28,69.01,69.82,67.88,68.13,68.13,1097300
2019-05-29,67.11,68.7,66.79,67.63,67.63,738600
2019-05-30,68.07,69.21,67.61,68.71,68.71,572000
2019-05-31,68.04,68.91,67.09,67.52,67.52,612600
2019-06-01,67.92,68.88,66.78,67.3,67.3,838366
2019-06-02,67.8,68.84,66.48,67.09,67.09,1064133
2019-06-03,67.68,68.81,66.17,66.87,66.87,1289900
2019-06-04,67.58,68.83,65.95,68.8,68.8,781700
2019-06-05,69.25,71.08,68.0,70.55,70.55,1095600
2019-06-06,69.88,71.65,69.43,70.8,70.8,585100
2019-06-07,71.18,71.57,69.91,70.4,70.4,915800
2019-06-08,71.13,71.97,70.18,70.51,70.51,846900
2019-06-09,71.08,72.38,70.44,70.61,70.61,778000
2019-06-10,71.03,72.78,70.71,70.72,70.72,709100
2019-06-11,71.78,72.05,68.97,69.92,69.92,612500
2019-06-12,69.43,70.17,68.06,70.0,70.0,362000
2019-06-13,70.36,71.76,69.35,71.24,71.24,471800
2019-06-14,71.57,71.57,69.77,70.03,70.03,413500
2019-06-15,71.15,71.8,69.79,70.52,70.52,515933
2019-06-16,70.73,72.02,69.82,71.01,71.01,618366
2019-06-17,70.31,72.25,69.84,71.5,71.5,720800
2019-06-18,72.54,74.34,71.94,73.02,73.02,870300
2019-06-19,73.07,73.99,71.58,71.97,71.97,809300
2019-06-20,73.28,74.27,72.57,73.44,73.44,388200
2019-06-21,73.48,74.85,72.24,74.37,74.37,688700
2019-06-22,73.68,74.59,71.96,73.51,73.51,619066
2019-06-23,73.87,74.33,71.69,72.66,72.66,549433
2019-06-24,74.07,74.07,71.41,71.8,71.8,479800
2019-06-25,72.0,72.98,70.63,71.14,71.14,331900
2019-06-26,71.4,72.1,69.34,69.49,69.49,548100
2019-06-27,69.97,72.39,69.74,71.08,71.08,787200
2019-06-28,71.43,72.64,70.87,72.56,72.56,1112900
2019-06-29,72.18,73.26,70.9,72.38,72.38,957066
2019-06-30,72.94,73.88,70.94,72.19,72.19,801233
2019-07-01,73.69,74.5,70.97,72.01,72.01,645400
2019-07-02,71.86,73.8,71.42,72.97,72.97,398300
2019-07-03,72.96,73.75,71.37,72.64,72.64,340600
2019-07-04,72.63,73.31,71.3,72.42,72.42,482050
2019-07-05,72.31,72.86,71.23,72.19,72.19,623500
2019-07-06,72.11,72.53,70.66,71.76,71.76,594900
2019-07-07,71.92,72.21,70.09,71.33,71.33,566300
2019-07-08,71.72,71.88,69.52,70.9,70.9,537700
2019-07-09,70.46,73.98,69.79,73.24,73.24,668300
2019-07-10,73.47,74.39,72.51,74.11,74.11,733700
2019-07-11,74.55,74.85,72.55,73.41,73.41,653400
2019-07-12,73.1,73.21,71.11,71.54,71.54,774700
2019-07-13,72.58,73.34,71.12,71.96,71.96,713966
2019-07-14,72.05,73.46,71.14,72.37,72.37,653233
2019-07-15,71.53,73.59,71.15,72.79,72.79,592500
2019-07-16,72.79,74.45,71.9,74.24,74.24,507800
2019-07-17,74.24,74.95,72.02,72.68,72.68,966300
2019-07-18,72.9,76.31,72.73,75.89,75.89,786200
2019-07-19,75.95,75.95,74.75,75.37,75.37,1334900
2019-07-20,75.91,76.26,74.87,75.71,75.71,1203133
2019-07-21,75.86,76.56,75.0,76.05,76.05,1071366
2019-07-22,75.82,76.87,75.12,76.39,76.39,939600
2019-07-23,76.58,77.94,75.7,76.9,76.9,656900
2019-07-24,76.9,77.19,75.0,76.48,76.48,695700
2019-07-25,76.08,76.32,73.42,74.14,74.14,708600
2019-07-26,74.46,76.5,73.88,76.36,76.36,346700
2019-07-27,75.14,76.68,74.33,76.12,76.12,403800
2019-07-28,75.82,76.86,74.77,75.87,75.87,460900
2019-07-29,76.5,77.04,75.22,75.63,75.63,518000
2019-07-30,75.91,78.02,75.61,77.98,77.98,479900
2019-07-31,77.43,79.09,77.43,77.59,77.59,707800
2019-08-01,77.45,77.81,74.31,75.36,75.36,581900
2019-08-02,74.95,75.19,72.52,73.98,73.98,547900
2019-08-03,74.22,74.63,71.98,73.12,73.12,684000
2019-08-04,73.48,74.06,71.44,72.27,72.27,820100
2019-08-05,72.75,73.5,70.9,71.41,71.41,956200
2019-08-06,70.0,75.89,69.11,74.38,74.38,954900
2019-08-07,75.32,81.69,72.67,80.5,80.5,1452000
2019-08-08,80.79,83.34,80.79,82.97,82.97,1088900
2019-08-09,82.83,84.48,79.49,80.78,80.78,779000
2019-08-10,81.89,83.37,79.19,80.15,80.15,734133
2019-08-11,80.94,82.26,78.89,79.51,79.51,689266
2019-08-12,80.0,81.15,78.59,78.88,78.88,644400
2019-08-13,79.1,81.48,78.6,80.0,80.0,791100
2019-08-14,78.94,80.4,78.73,79.05,79.05,965300
2019-08-15,79.08,79.73,77.68,78.37,78.37,382200
2019-08-16,78.77,81.01,78.77,80.69,80.69,481300
2019-08-17,79.84,81.51,79.33,81.19,81.19,562166
2019-08-18,80.91,82.0,79.9,81.7,81.7,643033
2019-08-19,81.98,82.5,80.46,82.2,82.2,723900
2019-08-20,81.94,84.3,81.51,82.14,82.14,619000
2019-08-21,83.43,84.23,81.97,83.37,83.37,552100
2019-08-22,83.99,84.25,81.03,82.16,82.16,706200
2019-08-23,81.72,83.98,81.3,81.89,81.89,792200
2019-08-24,82.33,83.96,81.39,82.01,82.01,761500
2019-08-25,82.95,83.94,81.49,82.12,82.12,730800
2019-08-26,83.56,83.92,81.58,82.24,82.24,700100
2019-08-27,82.96,83.95,81.5,82.21,82.21,1557500
2019-08-28,81.99,82.83,81.28,82.32,82.32,362600
2019-08-29,83.0,83.43,80.11,82.39,82.39,593200
2019-08-30,82.61,83.09,80.41,80.69,80.69,422500
2019-08-31,82.58,83.55,80.35,80.96,80.96,568050
2019-09-01,82.56,84.02,80.29,81.23,81.23,713600
2019-09-02,82.53,84.48,80.23,81.49,81.49,859150
2019-09-03,82.5,84.95,80.17,81.76,81.76,1004700
2019-09-04,82.26,83.46,80.69,82.33,82.33,746100
2019-09-05,82.97,83.73,81.67,83.14,83.14,470700
2019-09-06,83.14,83.44,79.74,79.82,79.82,648400
2019-09-07,81.9,83.34,79.33,80.78,80.78,692333
2019-09-08,80.65,83.23,78.93,81.73,81.73,736266
2019-09-09,79.41,83.13,78.52,82.69,82.69,780200
2019-09-10,82.22,84.48,81.58,84.27,84.27,754400
2019-09-11,84.7,86.98,84.35,86.17,86.17,642100
2019-09-12,86.66,86.98,83.08,83.17,83.17,613900
2019-09-13,83.14,85.69,83.04,83.69,83.69,862200
2019-09-14,83.25,85.97,83.13,84.05,84.05,759466
2019-09-15,83.36,86.26,83.21,84.41,84.41,656733
2019-09-16,83.47,86.54,83.3,84.77,84.77,554000
2019-09-17,85.03,88.0,84.99,87.82,87.82,946100
2019-09-18,87.95,87.97,84.54,85.49,85.49,738200
