,Open,High,Low,Close,Adj Close,Volume
2019-03-01,434.8,440.05,431.93,439.57,439.57,511000
2019-03-02,436.93,440.7,430.74,437.66,437.66,597100
2019-03-03,439.05,441.35,429.55,435.74,435.74,683200
2019-03-04,441.18,442.0,428.36,433.83,433.83,769300
2019-03-05,432.12,439.65,430.49,437.13,437.13,478300
2019-03-06,436.93,438.02,421.31,423.69,423.69,812300
2019-03-07,422.9,422.9,409.19,409.58,409.58,1020800
2019-03-08,407.51,407.51,399.58,402.64,402.64,1091700
2019-03-09,406.39,409.41,400.47,405.78,405.78,1019200
2019-03-10,405.27,411.31,401.36,408.91,408.91,946700
2019-03-11,404.15,413.21,402.25,412.05,412.05,874200
2019-03-12,413.56,421.8,411.19,417.62,417.62,839700
2019-03-13,419.38,419.6,408.53,409.01,409.01,988800
2019-03-14,409.89,412.36,406.34,407.5,407.5,925200
2019-03-15,408.47,415.0,408.4,414.47,414.47,1158500
2019-03-16,408.98,414.59,407.21,412.18,412.18,954233
2019-03-17,409.49,414.17,406.03,409.89,409.89,749966
2019-03-18,410.0,413.76,404.84,407.6,407.6,545700
2019-03-19,407.74,409.72,404.4,406.99,406.99,627900
2019-03-20,407.79,409.68,402.82,405.5,405.5,479500
2019-03-21,401.0,405.12,396.84,402.59,402.59,880900
2019-03-22,401.48,402.59,391.43,391.8,391.8,552600
2019-03-23,398.13,400.93,390.45,392.87,392.87,512266
2019-03-24,394.77,399.27,389.47,393.93,393.93,471933
2019-03-25,391.42,397.61,388.49,395.0,395.0,431600
2019-03-26,398.78,406.23,398.52,405.62,405.62,674800
2019-03-27,405.07,407.45,398.36,402.87,402.87,450800
2019-03-28,405.67,408.31,402.3,404.83,404.83,436300
2019-03-29,406.74,412.6,406.74,410.62,410.62,492300
2019-03-30,408.66,412.7,407.16,410.43,410.43,493700
2019-03-31,410.59,412.8,407.58,410.24,410.24,495100
2019-04-01,412.51,412.9,408.0,410.05,410.05,496500
2019-04-02,411.35,415.89,407.56,414.82,414.82,513000
2019-04-03,414.34,415.16,400.84,407.0,407.0,789300
2019-04-04,408.0,410.8,400.83,406.53,406.53,517300
2019-04-05,408.17,412.63,406.55,408.94,408.94,657400
2019-04-06,408.14,412.07,403.03,406.38,406.38,672866
2019-04-07,408.11,411.5,399.52,403.82,403.82,688333
2019-04-08,408.08,410.94,396.0,401.26,401.26,703800
2019-04-09,400.0,400.34,395.14,395.73,395.73,577700
2019-04-10,397.18,408.48,394.33,408.23,408.23,579700
2019-04-11,410.0,410.19,391.73,393.48,393.48,843500
2019-04-12,393.17,394.5,381.18,382.94,382.94,1254100
2019-04-13,389.72,391.66,379.19,380.46,380.46,1106566
2019-04-14,386.26,388.83,377.19,377.98,377.98,959033
2019-04-15,382.81,385.99,375.2,375.5,375.5,811500
2019-04-16,377.9,383.0,366.36,367.69,367.69,1054900
2019-04-17,366.96,368.02,342.02,342.97,342.97,1978400
2019-04-18,346.4,347.55,332.22,333.34,333.34,1920400
2019-04-19,342.92,344.66,331.42,333.51,333.51,1670725
2019-04-20,339.45,341.77,330.61,333.68,333.68,1421050
2019-04-21,335.97,338.89,329.81,333.86,333.86,1171375
2019-04-22,332.5,336.0,329.0,334.03,334.03,921700
2019-04-23,335.51,346.64,334.46,344.14,344.14,972700
2019-04-24,344.43,346.32,338.67,340.46,340.46,850700
2019-04-25,340.38,351.9,337.66,349.99,349.99,891200
2019-04-26,351.25,351.67,339.61,343.66,343.66,846000
2019-04-27,348.54,349.77,339.28,343.82,343.82,763366
2019-04-28,345.84,347.88,338.95,343.99,343.99,680733
2019-04-29,343.13,345.98,338.62,344.15,344.15,598100
2019-04-30,343.8,345.04,337.96,343.14,343.14,554800
2019-05-01,343.04,345.44,338.91,340.79,340.79,503400
2019-05-02,342.69,344.29,331.25,335.41,335.41,812400
2019-05-03,336.98,339.71,334.67,336.89,336.89,848300
2019-05-04,335.39,341.45,333.85,339.34,339.34,871100
2019-05-05,333.79,343.18,333.02,341.78,341.78,893900
2019-05-06,332.2,344.92,332.2,344.23,344.23,916700
2019-05-07,333.0,336.5,318.7,322.4,322.4,1967300
2019-05-08,319.33,329.75,319.33,329.0,329.0,1183700
2019-05-09,325.79,327.36,320.74,324.17,324.17,864100
2019-05-10,323.56,323.81,311.35,312.86,312.86,1407500
2019-05-11,317.93,318.97,307.27,310.29,310.29,1322866
2019-05-12,312.3,314.14,303.19,307.72,307.72,1238233
2019-05-13,306.67,309.3,299.11,305.15,305.15,1153600
2019-05-14,306.35,309.19,303.59,304.62,304.62,836900
2019-05-15,301.95,306.27,297.32,305.85,305.85,784100
2019-05-16,306.22,314.06,304.0,308.04,308.04,1049100
2019-05-17,305.8,309.21,303.7,304.94,304.94,756000
2019-05-18,304.37,307.66,301.56,304.15,304.15,750200
2019-05-19,302.95,306.12,299.41,303.36,303.36,744400
2019-05-20,301.52,304.57,297.27,302.57,302.57,738600
2019-05-21,304.88,314.29,304.88,309.95,309.95,999900
2019-05-22,308.01,321.49,302.73,320.09,320.09,1252700
2019-05-23,316.76,318.66,310.37,315.26,315.26,934700
2019-05-24,316.66,318.81,308.47,312.56,312.56,401100
2019-05-25,315.84,318.06,308.28,311.4,311.4,480400
2019-05-26,315.02,317.3,308.09,310.24,310.24,559700
