,Open,High,Low,Close,Adj Close,Volume
2019-03-01,189.95,192.69,189.28,192.16,192.16,887600
2019-03-02,190.98,193.09,188.42,191.45,191.45,994600
2019-03-03,192.0,193.49,187.57,190.75,190.75,1101600
2019-03-04,193.03,193.89,186.71,190.04,190.04,1208600
2019-03-05,190.16,190.51,187.52,187.8,187.8,1409100
2019-03-06,188.18,188.7,180.56,181.11,181.11,1381000
2019-03-07,181.36,181.83,177.45,178.61,178.61,1432900
2019-03-08,177.26,177.62,173.59,177.26,177.26,1451500
2019-03-09,177.49,178.6,174.99,178.35,178.35,1417900
2019-03-10,177.71,179.58,176.38,179.43,179.43,1384300
2019-03-11,177.94,180.56,177.78,180.52,180.52,1350700
2019-03-12,181.15,183.23,179.85,182.57,182.57,1545300
2019-03-13,183.37,186.78,182.21,185.66,185.66,1202300
2019-03-14,185.62,186.66,184.45,186.11,186.11,785700
2019-03-15,186.88,189.35,186.37,188.09,188.09,2768600
2019-03-16,187.25,189.3,186.09,187.89,187.89,2363766
2019-03-17,187.63,189.26,185.81,187.68,187.68,1958933
2019-03-18,188.0,189.21,185.53,187.48,187.48,1554100
2019-03-19,184.64,185.0,181.18,181.76,181.76,1556200
2019-03-20,181.53,182.46,179.54,179.98,179.98,1213600
2019-03-21,178.22,182.74,178.22,182.56,182.56,1156500
2019-03-22,182.07,183.85,181.04,181.53,181.53,1612300
2019-03-23,181.94,184.25,181.17,182.3,182.3,1659700
2019-03-24,181.8,184.66,181.31,183.08,183.08,1707100
2019-03-25,181.67,185.06,181.44,183.85,183.85,1754500
2019-03-26,185.24,190.07,184.83,189.91,189.91,1373700
2019-03-27,190.0,190.01,185.62,185.82,185.82,1181200
2019-03-28,186.01,186.94,181.49,182.42,182.42,1615200
2019-03-29,184.29,184.86,181.92,183.95,183.95,1274700
2019-03-30,184.59,185.7,182.84,184.65,184.65,1193133
2019-03-31,184.9,186.54,183.76,185.35,185.35,1111566
2019-04-01,185.2,187.38,184.68,186.05,186.05,1030000
2019-04-02,185.96,189.43,184.91,187.11,187.11,814400
2019-04-03,187.9,188.98,187.01,187.89,187.89,829400
2019-04-04,188.22,188.34,182.49,184.15,184.15,1193400
2019-04-05,184.49,189.35,184.24,188.89,188.89,2289000
2019-04-06,186.08,189.55,185.05,188.9,188.9,1829366
2019-04-07,187.68,189.75,185.86,188.92,188.92,1369733
2019-04-08,189.27,189.95,186.67,188.93,188.93,910100
2019-04-09,188.01,189.7,187.75,188.31,188.31,976000
2019-04-10,188.32,191.71,187.07,190.37,190.37,1155900
2019-04-11,191.08,191.42,184.22,185.12,185.12,1971900
2019-04-12,185.42,186.47,182.31,182.78,182.78,1077400
2019-04-13,184.37,185.75,181.62,182.68,182.68,993833
2019-04-14,183.32,185.04,180.93,182.59,182.59,910266
2019-04-15,182.27,184.32,180.24,182.49,182.49,826700
2019-04-16,183.63,184.8,179.59,179.74,179.74,900300
2019-04-17,180.45,180.75,166.65,166.97,166.97,2851100
2019-04-18,169.96,170.45,163.68,168.16,168.16,3195700
2019-04-19,169.42,170.3,164.31,168.25,168.25,2700150
2019-04-20,168.88,170.15,164.94,168.34,168.34,2204600
2019-04-21,168.33,170.01,165.57,168.43,168.43,1709050
2019-04-22,167.79,169.86,166.2,168.52,168.52,1213500
2019-04-23,169.22,175.6,168.77,175.37,175.37,1514600
2019-04-24,175.58,175.86,171.76,172.58,172.58,1164500
2019-04-25,172.4,175.22,170.2,174.61,174.61,806500
2019-04-26,173.98,174.42,170.01,172.85,172.85,1117700
2019-04-27,173.51,174.17,170.41,172.74,172.74,995233
2019-04-28,173.05,173.92,170.82,172.63,172.63,872766
2019-04-29,172.58,173.67,171.22,172.52,172.52,750300
2019-04-30,173.93,174.92,168.49,168.98,168.98,1619800
2019-05-01,168.76,175.6,168.51,172.6,172.6,1824800
2019-05-02,172.1,172.49,167.8,169.54,169.54,1209800
2019-05-03,170.05,174.19,169.46,173.87,173.87,971800
2019-05-04,170.13,174.51,169.62,174.17,174.17,943966
2019-05-05,170.22,174.83,169.79,174.46,174.46,916133
2019-05-06,170.3,175.15,169.95,174.76,174.76,888300
2019-05-07,172.33,174.38,168.59,170.28,170.28,1345900
2019-05-08,170.06,171.54,168.4,169.01,169.01,1121600
2019-05-09,167.4,170.5,166.48,169.91,169.91,820200
2019-05-10,169.36,169.36,164.31,168.85,168.85,805700
2019-05-11,168.14,168.73,164.23,167.44,167.44,909966
2019-05-12,166.92,168.11,164.15,166.02,166.02,1014233
2019-05-13,165.7,167.48,164.07,164.61,164.61,1118500
2019-05-14,165.6,167.58,164.96,166.72,166.72,938200
2019-05-15,165.41,168.22,164.96,166.88,166.88,663700
2019-05-16,167.63,173.41,167.63,170.23,170.23,1688900
2019-05-17,168.9,170.84,167.97,168.73,168.73,898200
2019-05-18,168.52,169.98,167.21,167.73,167.73,813566
2019-05-19,168.15,169.11,166.44,166.73,166.73,728933
2019-05-20,167.77,168.25,165.68,165.73,165.73,644300
2019-05-21,167.89,170.15,167.38,169.12,169.12,703300
